V:(1/2,1/2,w)|V₅(2)|V₅(2)|V₅(2)|V₅(2)|V₁V₃(2)⊕V₂V₄(2)|V₁V₃(2)⊕V₂V₄(2)|V₅(2)|V₅(2)|V₅(2)|V₅(2)|V₁V₃(2)⊕V₂V₄(2)|V₁V₃(2)⊕V₂V₄(2)|V₁V₃(2)⊕V₂V₄(2)|V₁V₃(2)⊕V₂V₄(2)|2V₅(2)|2V₅(2)|V₁V₃(2)⊕V₂V₄(2)|V₁V₃(2)⊕V₂V₄(2)|2V₅(2)|2V₅(2)|Vˢ₆Vˢ₇(4)|Vˢ₆Vˢ₇(4)|Vˢ₆Vˢ₇(4)|Vˢ₆Vˢ₇(4)|Vˢ₆Vˢ₇(4)|Vˢ₆Vˢ₇(4)|Vˢ₆Vˢ₇(4)|Vˢ₆Vˢ₇(4)|2Vˢ₆Vˢ₇(4)|2Vˢ₆Vˢ₇(4)|2Vˢ₆Vˢ₇(4)
Δ:(0,v,0)|Δ₁(1)⊕Δ₄(1)|Δ₂(1)⊕Δ₃(1)|Δ₁(1)⊕Δ₄(1)|Δ₂(1)⊕Δ₃(1)|2Δ₂(1)⊕2Δ₃(1)|2Δ₁(1)⊕2Δ₄(1)|Δ₁(1)⊕Δ₄(1)|Δ₂(1)⊕Δ₃(1)|Δ₁(1)⊕Δ₄(1)|Δ₂(1)⊕Δ₃(1)|2Δ₂(1)⊕2Δ₃(1)|2Δ₁(1)⊕2Δ₄(1)|2Δ₁(1)⊕2Δ₄(1)|2Δ₂(1)⊕2Δ₃(1)|2Δ₂(1)⊕2Δ₃(1)|2Δ₁(1)⊕2Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|2Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)|4Δˢ₅(2)|4Δˢ₅(2)|4Δˢ₅(2)
S:(u,u,1/2)|S₁(2)|S₁(2)|S₁(2)|S₁(2)|2S₁(2)|2S₁(2)|S₁(2)|S₁(2)|S₁(2)|S₁(2)|2S₁(2)|2S₁(2)|2S₁(2)|2S₁(2)|2S₁(2)|2S₁(2)|2S₁(2)|2S₁(2)|2S₁(2)|2S₁(2)|Sˢ₂Sˢ₄(2)⊕Sˢ₃Sˢ₅(2)|Sˢ₂Sˢ₄(2)⊕Sˢ₃Sˢ₅(2)|Sˢ₂Sˢ₄(2)⊕Sˢ₃Sˢ₅(2)|Sˢ₂Sˢ₄(2)⊕Sˢ₃Sˢ₅(2)|Sˢ₂Sˢ₄(2)⊕Sˢ₃Sˢ₅(2)|Sˢ₂Sˢ₄(2)⊕Sˢ₃Sˢ₅(2)|Sˢ₂Sˢ₄(2)⊕Sˢ₃Sˢ₅(2)|Sˢ₂Sˢ₄(2)⊕Sˢ₃Sˢ₅(2)|2Sˢ₂Sˢ₄(2)⊕2Sˢ₃Sˢ₅(2)|2Sˢ₂Sˢ₄(2)⊕2Sˢ₃Sˢ₅(2)|2Sˢ₂Sˢ₄(2)⊕2Sˢ₃Sˢ₅(2)
Σ:(u,u,0)|Σ₁(1)⊕Σ₂(1)|Σ₃(1)⊕Σ₄(1)|Σ₁(1)⊕Σ₂(1)|Σ₃(1)⊕Σ₄(1)|2Σ₃(1)⊕2Σ₄(1)|2Σ₁(1)⊕2Σ₂(1)|Σ₁(1)⊕Σ₂(1)|Σ₃(1)⊕Σ₄(1)|Σ₁(1)⊕Σ₂(1)|Σ₃(1)⊕Σ₄(1)|2Σ₃(1)⊕2Σ₄(1)|2Σ₁(1)⊕2Σ₂(1)|2Σ₁(1)⊕2Σ₂(1)|2Σ₃(1)⊕2Σ₄(1)|2Σ₃(1)⊕2Σ₄(1)|2Σ₁(1)⊕2Σ₂(1)|2Σ₁(1)⊕2Σ₄(1)|2Σ₂(1)⊕2Σ₃(1)|Σ₁(1)⊕Σ₂(1)⊕Σ₃(1)⊕Σ₄(1)|Σ₁(1)⊕Σ₂(1)⊕Σ₃(1)⊕Σ₄(1)|2Σˢ₅(2)|2Σˢ₅(2)|2Σˢ₅(2)|2Σˢ₅(2)|2Σˢ₅(2)|2Σˢ₅(2)|2Σˢ₅(2)|2Σˢ₅(2)|4Σˢ₅(2)|4Σˢ₅(2)|4Σˢ₅(2)
T:(u,1/2,1/2)|T₁(2)|T₁(2)|T₁(2)|T₁(2)|2T₁(2)|2T₁(2)|T₁(2)|T₁(2)|T₁(2)|T₁(2)|2T₁(2)|2T₁(2)|2T₁(2)|2T₁(2)|2T₁(2)|2T₁(2)|2T₁(2)|2T₁(2)|2T₁(2)|2T₁(2)|Tˢ₂Tˢ₃(2)⊕Tˢ₄Tˢ₅(2)|Tˢ₂Tˢ₃(2)⊕Tˢ₄Tˢ₅(2)|Tˢ₂Tˢ₃(2)⊕Tˢ₄Tˢ₅(2)|Tˢ₂Tˢ₃(2)⊕Tˢ₄Tˢ₅(2)|Tˢ₂Tˢ₃(2)⊕Tˢ₄Tˢ₅(2)|Tˢ₂Tˢ₃(2)⊕Tˢ₄Tˢ₅(2)|Tˢ₂Tˢ₃(2)⊕Tˢ₄Tˢ₅(2)|Tˢ₂Tˢ₃(2)⊕Tˢ₄Tˢ₅(2)|2Tˢ₂Tˢ₃(2)⊕2Tˢ₄Tˢ₅(2)|2Tˢ₂Tˢ₃(2)⊕2Tˢ₄Tˢ₅(2)|2Tˢ₂Tˢ₃(2)⊕2Tˢ₄Tˢ₅(2)
U:(0,v,1/2)|U₁(2)|U₁(2)|U₁(2)|U₁(2)|2U₁(2)|2U₁(2)|U₁(2)|U₁(2)|U₁(2)|U₁(2)|2U₁(2)|2U₁(2)|2U₁(2)|2U₁(2)|2U₁(2)|2U₁(2)|2U₁(2)|2U₁(2)|2U₁(2)|2U₁(2)|Uˢ₂Uˢ₄(2)⊕Uˢ₃Uˢ₅(2)|Uˢ₂Uˢ₄(2)⊕Uˢ₃Uˢ₅(2)|Uˢ₂Uˢ₄(2)⊕Uˢ₃Uˢ₅(2)|Uˢ₂Uˢ₄(2)⊕Uˢ₃Uˢ₅(2)|Uˢ₂Uˢ₄(2)⊕Uˢ₃Uˢ₅(2)|Uˢ₂Uˢ₄(2)⊕Uˢ₃Uˢ₅(2)|Uˢ₂Uˢ₄(2)⊕Uˢ₃Uˢ₅(2)|Uˢ₂Uˢ₄(2)⊕Uˢ₃Uˢ₅(2)|2Uˢ₂Uˢ₄(2)⊕2Uˢ₃Uˢ₅(2)|2Uˢ₂Uˢ₄(2)⊕2Uˢ₃Uˢ₅(2)|2Uˢ₂Uˢ₄(2)⊕2Uˢ₃Uˢ₅(2)
W:(0,1/2,w)|W₁(2)|W₁(2)|W₁(2)|W₁(2)|2W₁(2)|2W₁(2)|W₁(2)|W₁(2)|W₁(2)|W₁(2)|2W₁(2)|2W₁(2)|2W₁(2)|2W₁(2)|2W₁(2)|2W₁(2)|2W₁(2)|2W₁(2)|2W₁(2)|2W₁(2)|Wˢ₂Wˢ₅(2)⊕Wˢ₃Wˢ₄(2)|Wˢ₂Wˢ₅(2)⊕Wˢ₃Wˢ₄(2)|Wˢ₂Wˢ₅(2)⊕Wˢ₃Wˢ₄(2)|Wˢ₂Wˢ₅(2)⊕Wˢ₃Wˢ₄(2)|Wˢ₂Wˢ₅(2)⊕Wˢ₃Wˢ₄(2)|Wˢ₂Wˢ₅(2)⊕Wˢ₃Wˢ₄(2)|Wˢ₂Wˢ₅(2)⊕Wˢ₃Wˢ₄(2)|Wˢ₂Wˢ₅(2)⊕Wˢ₃Wˢ₄(2)|2Wˢ₂Wˢ₅(2)⊕2Wˢ₃Wˢ₄(2)|2Wˢ₂Wˢ₅(2)⊕2Wˢ₃Wˢ₄(2)|2Wˢ₂Wˢ₅(2)⊕2Wˢ₃Wˢ₄(2)
Y:(u,1/2,0)|Y₁Y₄(2)|Y₂Y₃(2)|Y₁Y₄(2)|Y₂Y₃(2)|2Y₂Y₃(2)|2Y₁Y₄(2)|Y₁Y₄(2)|Y₂Y₃(2)|Y₁Y₄(2)|Y₂Y₃(2)|2Y₂Y₃(2)|2Y₁Y₄(2)|2Y₁Y₄(2)|2Y₂Y₃(2)|2Y₂Y₃(2)|2Y₁Y₄(2)|Y₁Y₄(2)⊕Y₂Y₃(2)|Y₁Y₄(2)⊕Y₂Y₃(2)|Y₁Y₄(2)⊕Y₂Y₃(2)|Y₁Y₄(2)⊕Y₂Y₃(2)|Yˢ₅Yˢ₅(4)|Yˢ₅Yˢ₅(4)|Yˢ₅Yˢ₅(4)|Yˢ₅Yˢ₅(4)|Yˢ₅Yˢ₅(4)|Yˢ₅Yˢ₅(4)|Yˢ₅Yˢ₅(4)|Yˢ₅Yˢ₅(4)|2Yˢ₅Yˢ₅(4)|2Yˢ₅Yˢ₅(4)|2Yˢ₅Yˢ₅(4)
B:(0,v,w)|B₁(1)⊕B₂(1)|B₁(1)⊕B₂(1)|B₁(1)⊕B₂(1)|B₁(1)⊕B₂(1)|2B₁(1)⊕2B₂(1)|2B₁(1)⊕2B₂(1)|B₁(1)⊕B₂(1)|B₁(1)⊕B₂(1)|B₁(1)⊕B₂(1)|B₁(1)⊕B₂(1)|2B₁(1)⊕2B₂(1)|2B₁(1)⊕2B₂(1)|2B₁(1)⊕2B₂(1)|2B₁(1)⊕2B₂(1)|2B₁(1)⊕2B₂(1)|2B₁(1)⊕2B₂(1)|2B₁(1)⊕2B₂(1)|2B₁(1)⊕2B₂(1)|2B₁(1)⊕2B₂(1)|2B₁(1)⊕2B₂(1)|2Bˢ₃Bˢ₄(2)|2Bˢ₃Bˢ₄(2)|2Bˢ₃Bˢ₄(2)|2Bˢ₃Bˢ₄(2)|2Bˢ₃Bˢ₄(2)|2Bˢ₃Bˢ₄(2)|2Bˢ₃Bˢ₄(2)|2Bˢ₃Bˢ₄(2)|4Bˢ₃Bˢ₄(2)|4Bˢ₃Bˢ₄(2)|4Bˢ₃Bˢ₄(2)
C:(u,u,w)|C₁(1)⊕C₂(1)|C₁(1)⊕C₂(1)|C₁(1)⊕C₂(1)|C₁(1)⊕C₂(1)|2C₁(1)⊕2C₂(1)|2C₁(1)⊕2C₂(1)|C₁(1)⊕C₂(1)|C₁(1)⊕C₂(1)|C₁(1)⊕C₂(1)|C₁(1)⊕C₂(1)|2C₁(1)⊕2C₂(1)|2C₁(1)⊕2C₂(1)|2C₁(1)⊕2C₂(1)|2C₁(1)⊕2C₂(1)|2C₁(1)⊕2C₂(1)|2C₁(1)⊕2C₂(1)|2C₁(1)⊕2C₂(1)|2C₁(1)⊕2C₂(1)|2C₁(1)⊕2C₂(1)|2C₁(1)⊕2C₂(1)|2Cˢ₃Cˢ₄(2)|2Cˢ₃Cˢ₄(2)|2Cˢ₃Cˢ₄(2)|2Cˢ₃Cˢ₄(2)|2Cˢ₃Cˢ₄(2)|2Cˢ₃Cˢ₄(2)|2Cˢ₃Cˢ₄(2)|2Cˢ₃Cˢ₄(2)|4Cˢ₃Cˢ₄(2)|4Cˢ₃Cˢ₄(2)|4Cˢ₃Cˢ₄(2)
D:(u,v,0)|2D₁(1)|2D₂(1)|2D₁(1)|2D₂(1)|4D₂(1)|4D₁(1)|2D₁(1)|2D₂(1)|2D₁(1)|2D₂(1)|4D₂(1)|4D₁(1)|4D₁(1)|4D₂(1)|4D₂(1)|4D₁(1)|2D₁(1)⊕2D₂(1)|2D₁(1)⊕2D₂(1)|2D₁(1)⊕2D₂(1)|2D₁(1)⊕2D₂(1)|2Dˢ₃Dˢ₄(2)|2Dˢ₃Dˢ₄(2)|2Dˢ₃Dˢ₄(2)|2Dˢ₃Dˢ₄(2)|2Dˢ₃Dˢ₄(2)|2Dˢ₃Dˢ₄(2)|2Dˢ₃Dˢ₄(2)|2Dˢ₃Dˢ₄(2)|4Dˢ₃Dˢ₄(2)|4Dˢ₃Dˢ₄(2)|4Dˢ₃Dˢ₄(2)
E:(u,v,1/2)|E₁(1)⊕E₂(1)|E₁(1)⊕E₂(1)|E₁(1)⊕E₂(1)|E₁(1)⊕E₂(1)|2E₁(1)⊕2E₂(1)|2E₁(1)⊕2E₂(1)|E₁(1)⊕E₂(1)|E₁(1)⊕E₂(1)|E₁(1)⊕E₂(1)|E₁(1)⊕E₂(1)|2E₁(1)⊕2E₂(1)|2E₁(1)⊕2E₂(1)|2E₁(1)⊕2E₂(1)|2E₁(1)⊕2E₂(1)|2E₁(1)⊕2E₂(1)|2E₁(1)⊕2E₂(1)|2E₁(1)⊕2E₂(1)|2E₁(1)⊕2E₂(1)|2E₁(1)⊕2E₂(1)|2E₁(1)⊕2E₂(1)|2Eˢ₃Eˢ₄(2)|2Eˢ₃Eˢ₄(2)|2Eˢ₃Eˢ₄(2)|2Eˢ₃Eˢ₄(2)|2Eˢ₃Eˢ₄(2)|2Eˢ₃Eˢ₄(2)|2Eˢ₃Eˢ₄(2)|2Eˢ₃Eˢ₄(2)|4Eˢ₃Eˢ₄(2)|4Eˢ₃Eˢ₄(2)|4Eˢ₃Eˢ₄(2)
F:(u,1/2,w)|F₁F₂(2)|F₁F₂(2)|F₁F₂(2)|F₁F₂(2)|2F₁F₂(2)|2F₁F₂(2)|F₁F₂(2)|F₁F₂(2)|F₁F₂(2)|F₁F₂(2)|2F₁F₂(2)|2F₁F₂(2)|2F₁F₂(2)|2F₁F₂(2)|2F₁F₂(2)|2F₁F₂(2)|2F₁F₂(2)|2F₁F₂(2)|2F₁F₂(2)|2F₁F₂(2)|Fˢ₃Fˢ₃(2)⊕Fˢ₄Fˢ₄(2)|Fˢ₃Fˢ₃(2)⊕Fˢ₄Fˢ₄(2)|Fˢ₃Fˢ₃(2)⊕Fˢ₄Fˢ₄(2)|Fˢ₃Fˢ₃(2)⊕Fˢ₄Fˢ₄(2)|Fˢ₃Fˢ₃(2)⊕Fˢ₄Fˢ₄(2)|Fˢ₃Fˢ₃(2)⊕Fˢ₄Fˢ₄(2)|Fˢ₃Fˢ₃(2)⊕Fˢ₄Fˢ₄(2)|Fˢ₃Fˢ₃(2)⊕Fˢ₄Fˢ₄(2)|2Fˢ₃Fˢ₃(2)⊕2Fˢ₄Fˢ₄(2)|2Fˢ₃Fˢ₃(2)⊕2Fˢ₄Fˢ₄(2)|2Fˢ₃Fˢ₃(2)⊕2Fˢ₄Fˢ₄(2)
Ω:(u,v,w)|2Ω₁(1)|2Ω₁(1)|2Ω₁(1)|2Ω₁(1)|4Ω₁(1)|4Ω₁(1)|2Ω₁(1)|2Ω₁(1)|2Ω₁(1)|2Ω₁(1)|4Ω₁(1)|4Ω₁(1)|4Ω₁(1)|4Ω₁(1)|4Ω₁(1)|4Ω₁(1)|4Ω₁(1)|4Ω₁(1)|4Ω₁(1)|4Ω₁(1)|2Ωˢ₂Ωˢ₂(2)|2Ωˢ₂Ωˢ₂(2)|2Ωˢ₂Ωˢ₂(2)|2Ωˢ₂Ωˢ₂(2)|2Ωˢ₂Ωˢ₂(2)|2Ωˢ₂Ωˢ₂(2)|2Ωˢ₂Ωˢ₂(2)|2Ωˢ₂Ωˢ₂(2)|4Ωˢ₂Ωˢ₂(2)|4Ωˢ₂Ωˢ₂(2)|4Ωˢ₂Ωˢ₂(2)
