B:(0,v,1/2)|B₁B₃(2)|B₂B₄(2)|B₂B₄(2)|B₁B₃(2)|B₁B₃(2)|B₂B₄(2)|B₂B₄(2)|B₁B₃(2)|B₁B₃(2)|B₂B₄(2)|B₂B₄(2)|B₁B₃(2)|B₁B₃(2)⊕B₂B₄(2)|B₁B₃(2)⊕B₂B₄(2)|Bˢ₅Bˢ₅(4)|Bˢ₅Bˢ₅(4)|Bˢ₅Bˢ₅(4)|Bˢ₅Bˢ₅(4)|Bˢ₅Bˢ₅(4)|2Bˢ₅Bˢ₅(4)|2Bˢ₅Bˢ₅(4)
Δ:(0,v,0)|Δ₁(1)⊕Δ₃(1)|Δ₂(1)⊕Δ₄(1)|Δ₂(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₃(1)|Δ₁(1)⊕Δ₃(1)|Δ₂(1)⊕Δ₄(1)|Δ₂(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₃(1)|2Δ₁(1)|2Δ₂(1)|2Δ₄(1)|2Δ₃(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|2Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)|4Δˢ₅(2)|4Δˢ₅(2)
H:(1,0,w)|H₁(1)⊕H₃(1)|H₂(1)⊕H₄(1)|H₂(1)⊕H₄(1)|H₁(1)⊕H₃(1)|H₁(1)⊕H₃(1)|H₂(1)⊕H₄(1)|H₂(1)⊕H₄(1)|H₁(1)⊕H₃(1)|H₁(1)⊕H₃(1)|H₂(1)⊕H₄(1)|H₂(1)⊕H₄(1)|H₁(1)⊕H₃(1)|H₁(1)⊕H₂(1)⊕H₃(1)⊕H₄(1)|H₁(1)⊕H₂(1)⊕H₃(1)⊕H₄(1)|2Hˢ₅(2)|2Hˢ₅(2)|2Hˢ₅(2)|2Hˢ₅(2)|2Hˢ₅(2)|4Hˢ₅(2)|4Hˢ₅(2)
Λ:(0,0,w)|Λ₁(1)⊕Λ₃(1)|Λ₂(1)⊕Λ₄(1)|Λ₂(1)⊕Λ₄(1)|Λ₁(1)⊕Λ₃(1)|Λ₁(1)⊕Λ₃(1)|Λ₂(1)⊕Λ₄(1)|Λ₂(1)⊕Λ₄(1)|Λ₁(1)⊕Λ₃(1)|Λ₁(1)⊕Λ₃(1)|Λ₂(1)⊕Λ₄(1)|Λ₂(1)⊕Λ₄(1)|Λ₁(1)⊕Λ₃(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)⊕Λ₄(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)⊕Λ₄(1)|2Λˢ₅(2)|2Λˢ₅(2)|2Λˢ₅(2)|2Λˢ₅(2)|2Λˢ₅(2)|4Λˢ₅(2)|4Λˢ₅(2)
Σ:(u,0,0)|Σ₁(1)⊕Σ₂(1)|Σ₁(1)⊕Σ₂(1)|Σ₃(1)⊕Σ₄(1)|Σ₃(1)⊕Σ₄(1)|Σ₁(1)⊕Σ₂(1)|Σ₁(1)⊕Σ₂(1)|Σ₃(1)⊕Σ₄(1)|Σ₃(1)⊕Σ₄(1)|Σ₁(1)⊕Σ₄(1)|Σ₂(1)⊕Σ₃(1)|Σ₁(1)⊕Σ₄(1)|Σ₂(1)⊕Σ₃(1)|Σ₁(1)⊕Σ₂(1)⊕Σ₃(1)⊕Σ₄(1)|Σ₁(1)⊕Σ₂(1)⊕Σ₃(1)⊕Σ₄(1)|2Σˢ₅(2)|2Σˢ₅(2)|2Σˢ₅(2)|2Σˢ₅(2)|2Σˢ₅(2)|4Σˢ₅(2)|4Σˢ₅(2)
D:(1/2,1/2,w)|D₁(1)⊕D₂(1)|D₁(1)⊕D₂(1)|D₁(1)⊕D₂(1)|D₁(1)⊕D₂(1)|D₁(1)⊕D₂(1)|D₁(1)⊕D₂(1)|D₁(1)⊕D₂(1)|D₁(1)⊕D₂(1)|D₁(1)⊕D₂(1)|D₁(1)⊕D₂(1)|D₁(1)⊕D₂(1)|D₁(1)⊕D₂(1)|2D₁(1)⊕2D₂(1)|2D₁(1)⊕2D₂(1)|2Dˢ₃Dˢ₄(2)|2Dˢ₃Dˢ₄(2)|2Dˢ₃Dˢ₄(2)|2Dˢ₃Dˢ₄(2)|2Dˢ₃Dˢ₄(2)|4Dˢ₃Dˢ₄(2)|4Dˢ₃Dˢ₄(2)
K:(0,v,w)|2K₁(1)|2K₂(1)|2K₂(1)|2K₁(1)|2K₁(1)|2K₂(1)|2K₂(1)|2K₁(1)|2K₁(1)|2K₂(1)|2K₂(1)|2K₁(1)|2K₁(1)⊕2K₂(1)|2K₁(1)⊕2K₂(1)|2Kˢ₃Kˢ₄(2)|2Kˢ₃Kˢ₄(2)|2Kˢ₃Kˢ₄(2)|2Kˢ₃Kˢ₄(2)|2Kˢ₃Kˢ₄(2)|4Kˢ₃Kˢ₄(2)|4Kˢ₃Kˢ₄(2)
M:(u,0,w)|M₁(1)⊕M₂(1)|M₁(1)⊕M₂(1)|M₁(1)⊕M₂(1)|M₁(1)⊕M₂(1)|M₁(1)⊕M₂(1)|M₁(1)⊕M₂(1)|M₁(1)⊕M₂(1)|M₁(1)⊕M₂(1)|M₁(1)⊕M₂(1)|M₁(1)⊕M₂(1)|M₁(1)⊕M₂(1)|M₁(1)⊕M₂(1)|2M₁(1)⊕2M₂(1)|2M₁(1)⊕2M₂(1)|2Mˢ₃Mˢ₄(2)|2Mˢ₃Mˢ₄(2)|2Mˢ₃Mˢ₄(2)|2Mˢ₃Mˢ₄(2)|2Mˢ₃Mˢ₄(2)|4Mˢ₃Mˢ₄(2)|4Mˢ₃Mˢ₄(2)
P:(u,v,0)|P₁(1)⊕P₂(1)|P₁(1)⊕P₂(1)|P₁(1)⊕P₂(1)|P₁(1)⊕P₂(1)|P₁(1)⊕P₂(1)|P₁(1)⊕P₂(1)|P₁(1)⊕P₂(1)|P₁(1)⊕P₂(1)|2P₁(1)|2P₂(1)|2P₁(1)|2P₂(1)|2P₁(1)⊕2P₂(1)|2P₁(1)⊕2P₂(1)|2Pˢ₃Pˢ₄(2)|2Pˢ₃Pˢ₄(2)|2Pˢ₃Pˢ₄(2)|2Pˢ₃Pˢ₄(2)|2Pˢ₃Pˢ₄(2)|4Pˢ₃Pˢ₄(2)|4Pˢ₃Pˢ₄(2)
Q:(u,v,1/2)|Q₁Q₂(2)|Q₁Q₂(2)|Q₁Q₂(2)|Q₁Q₂(2)|Q₁Q₂(2)|Q₁Q₂(2)|Q₁Q₂(2)|Q₁Q₂(2)|Q₁Q₂(2)|Q₁Q₂(2)|Q₁Q₂(2)|Q₁Q₂(2)|2Q₁Q₂(2)|2Q₁Q₂(2)|Qˢ₃Qˢ₃(2)⊕Qˢ₄Qˢ₄(2)|Qˢ₃Qˢ₃(2)⊕Qˢ₄Qˢ₄(2)|Qˢ₃Qˢ₃(2)⊕Qˢ₄Qˢ₄(2)|Qˢ₃Qˢ₃(2)⊕Qˢ₄Qˢ₄(2)|Qˢ₃Qˢ₃(2)⊕Qˢ₄Qˢ₄(2)|2Qˢ₃Qˢ₃(2)⊕2Qˢ₄Qˢ₄(2)|2Qˢ₃Qˢ₃(2)⊕2Qˢ₄Qˢ₄(2)
Ω:(u,v,w)|2Ω₁(1)|2Ω₁(1)|2Ω₁(1)|2Ω₁(1)|2Ω₁(1)|2Ω₁(1)|2Ω₁(1)|2Ω₁(1)|2Ω₁(1)|2Ω₁(1)|2Ω₁(1)|2Ω₁(1)|4Ω₁(1)|4Ω₁(1)|2Ωˢ₂Ωˢ₂(2)|2Ωˢ₂Ωˢ₂(2)|2Ωˢ₂Ωˢ₂(2)|2Ωˢ₂Ωˢ₂(2)|2Ωˢ₂Ωˢ₂(2)|4Ωˢ₂Ωˢ₂(2)|4Ωˢ₂Ωˢ₂(2)
